Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,441826998,520903449,596538911,603097381,609600087,616002686,622301089,628484873,634545282,640454810,646430841,..
Latin America & Caribbean,LCN,Population growth (annual %),SP.POP.GROW,1.87824096202453,1.46809788448248,1.1198476558079,1.09942031928911,1.07821824548762,1.0502949616541,1.02246356114104,0.993696477365475,0.964288761807637,0.931301227451243,0.933091750844994,..
Latin America & Caribbean,LCN,Surface area (sq. km),AG.SRF.TOTL.K2,20452682.4156212,20425492.4156212,20425484.4078087,20425482.3765587,20425483.3921837,20425483.3921837,20425483.3921837,20426078.3765625,20426078.3765625,20425545.9765625,..,..
Latin America & Caribbean,LCN,Population density (people per sq. km of land area),EN.POP.DNST,22.0129568832928,25.9896268590755,29.7641321747825,30.0919866753081,30.4198271919214,30.7396318936835,31.0539334286253,31.362515271189,31.6649404813693,31.9606855829336,..,..
Latin America & Caribbean,LCN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,15.2,..,5.7,4.7,4.3,..,4.1,..,..,4.4,..,..
Latin America & Caribbean,LCN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1035040820987.84,2162544026033.58,5291378151961.1,5900823297769.11,6212016130108.81,6211563980123.03,5769196188911.75,5369319458460.01,5339235470908.09,5577714489579.21,5672645052710.86,..
Latin America & Caribbean,LCN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2342.63824001954,4151.52564296725,8870.13077334882,9784.19652226795,10190.3137197367,10083.6637912372,9270.74737757972,8543.27556497928,8414.27022210228,8708.98992792202,8775.33170282459,..
Latin America & Caribbean,LCN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2664928714335.33,4423296306069.26,8234375340151.06,8502654406008.78,8904565614013.34,9195972474621.33,9186087253982.37,9406172306113.83,9893230865066.27,10227888926577.9,10473510520636.9,..
Latin America & Caribbean,LCN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6031.61130125264,8491.58575271645,13803.5846250959,14098.3109426051,14607.224972416,14928.4616506061,14761.4834946599,14966.4259399189,15591.0557460677,15969.7277104968,16202.0588380882,..
Latin America & Caribbean,LCN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.3137257292478,71.6873950721169,74.2831448266383,74.4614890508871,74.6328307448558,74.7990690810121,74.9617220946921,75.1220587349306,75.2821359218146,75.4409154860844,..,..
Latin America & Caribbean,LCN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.25701816779207,2.62688992440689,2.16260901202293,2.14189189297907,2.12232936968132,2.10329424068396,2.08444989123462,2.06541471376572,2.04601307715281,2.02739093348555,..,..
Latin America & Caribbean,LCN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,87.3113546067797,82.5568648105808,69.2865290560101,68.1723861884688,67.1532084193415,66.1339192462503,65.1129054001644,64.0671620612829,63.0299505134263,62.0980750343964,..,..
Latin America & Caribbean,LCN,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,58.4512090426258,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,74.4240111940405,87.2149545111901,..,..,..,..,..,94.7491125097862,..,..,..,..
